Category,Resume
Marketing & Sales,"Education: Bachelor's in Marketing Experience: 4 years Skills: Sales, Automation Platforms, Segmentation, Copywriting, A/B Testing, Analytics, Azure, Email Campaign Management Bachelor's in Marketing Sales|Automation Platforms|Segmentation|Copywriting|A/B Testing|Analytics|Azure|Email Campaign Management Email Marketing Specialist"
Operations & Supply Chain,"Education: Bachelor's in Operations Experience: 3 years Skills: Safety, PostgreSQL, Equipment Maintenance, Problem Solving, Communication, Staff Management, Production Planning, Quality Control Bachelor's in Operations Safety|PostgreSQL|Equipment Maintenance|Problem Solving|Communication|Staff Management|Production Planning|Quality Control Production Manager"
Technology,"Education: Bachelor's in Computer Engineering Experience: 5 years Skills: Sensors, IoT Technology, System Design, P&L Management, Embedded Systems, CI/CD, MySQL, AWS Bachelor's in Computer Engineering Sensors|IoT Technology|System Design|P&L Management|Embedded Systems|CI/CD|MySQL|AWS|C/C++|Networking|Adaptability IoT Engineer"
Private Sector Management,"Education: Master's in Business Experience: 9 years Skills: Operations Management, Business Operations, Leadership, SEO, Docker, Decision Making, Strategic Thinking, Communication Master's in Business Operations Management|Business Operations|Leadership|SEO|Docker|Decision Making|Strategic Thinking|Communication COO"
Data & Analytics,"Education: Bachelor's in IT Experience: 3 years Skills: Database Design, SQL, Perl, Agile, Performance, ETL Tools, Problem Solving, Data Quality Bachelor's in IT Database Design|SQL|Perl|Agile|Performance|ETL Tools|Problem Solving|Data Quality|Data Integration ETL Developer"
Technology,"Education: IT Certification Experience: 5 years Skills: Ansible, Kubernetes, Graphic Design, Scikit-learn, Linux, Scripting, Docker, Documentation IT Certification Ansible|Kubernetes|Graphic Design|Scikit-learn|Linux|Scripting|Docker|Documentation|AWS|CI/CD|Query Optimization DevOps Engineer"
Human Services & Social Work,"Education: Master's in Counseling Experience: 3 years Skills: Ansible, Communication, Android, Active Listening, Empathy, Treatment Planning, Problem Solving, Counseling Master's in Counseling Ansible|Communication|Android|Active Listening|Empathy|Treatment Planning|Problem Solving|Counseling|C++|PostgreSQL|C# Counselor"
Data & Analytics,"Education: Bachelor's in Business Experience: 1 years Skills: Responsive Design, Requirements Gathering, Process Improvement, Excel, Web Accessibility, Documentation, Prototyping, Business Development Bachelor's in Business Responsive Design|Requirements Gathering|Process Improvement|Excel|Web Accessibility|Documentation|Prototyping|Business Development|JavaScript|SQL|Stakeholder Communication Business Analyst"
Government & Public Service,"Education: Master's in Relevant Field Experience: 2 years Skills: Analysis, Strategic Thinking, PyTorch, Sales, Mobile Security, Research, Communication, Writing Master's in Relevant Field Analysis|Strategic Thinking|PyTorch|Sales|Mobile Security|Research|Communication|Writing|Responsive Design|Policy Expertise|Kubernetes Policy Advisor"
Beauty & Wellness,"Education: Massage Therapy School Experience: 2 years Skills: Problem Solving, Customer Service, Massage Therapy, Empathy, Penetration Testing, Flutter, Machine Learning, Communication Massage Therapy School Problem Solving|Customer Service|Massage Therapy|Empathy|Penetration Testing|Flutter|Machine Learning|Communication|Anatomy Massage Therapist"
Conservation,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: CI/CD, Problem Solving, Public Safety, Outdoor Skills, React Native, Conservation, Communication, Environmental Knowledge Bachelor's in Environmental Science CI/CD|Problem Solving|Public Safety|Outdoor Skills|React Native|Conservation|Communication|Environmental Knowledge|CSS Park Ranger"
Science & Research,"Education: Bachelor's in Botany Experience: 4 years Skills: User Experience, Problem Solving, Project Management, Microservices, Communication, Field Work, Plant Science, Flutter Bachelor's in Botany User Experience|Problem Solving|Project Management|Microservices|Communication|Field Work|Plant Science|Flutter|Data Analysis|Research Botanist"
Data & Analytics,"Education: Bachelor's in Statistics Experience: 2 years Skills: Figma, Excel, Statistical Analysis, Tableau, SQL, Confluence, Data Visualization, Python Bachelor's in Statistics Figma|Excel|Statistical Analysis|Tableau|SQL|Confluence|Data Visualization|Python|App Testing Data Analyst"
Technology,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Problem Solving, Client Relations, Adobe Creative Suite, PyTorch, Communication, Product Knowledge, Jenkins, Account Management Bachelor's in Computer Science Problem Solving|Client Relations|Adobe Creative Suite|PyTorch|Communication|Product Knowledge|Jenkins|Account Management|Technical Knowledge Technical Account Manager"
Consulting,"Education: Master's in Strategy Experience: 6 years Skills: Shell Scripting, Analysis, Documentation, Market Knowledge, Communication, Problem Solving, User Interface, Query Optimization Master's in Strategy Shell Scripting|Analysis|Documentation|Market Knowledge|Communication|Problem Solving|User Interface|Query Optimization|Leadership|Vue.js|Strategic Thinking Strategy Consultant"
Arts & Culture,"Education: Museum Studies Experience: 3 years Skills: Curation, Problem Solving, Communication, Java, Art Knowledge, Microservices, Management, Research Museum Studies Curation|Problem Solving|Communication|Java|Art Knowledge|Microservices|Management|Research Museum Curator"
Healthcare,"Education: Medical Degree Experience: 5 years Skills: REST API, Decision Making, Go, Network Security, Medical Knowledge, Angular, NumPy, Empathy Medical Degree REST API|Decision Making|Go|Network Security|Medical Knowledge|Angular|NumPy|Empathy|Treatment|Diagnosis|Patient Communication Physician"
Technology,"Education: Bachelor's in Computer Science Experience: 1 years Skills: React, Java Interop, Coroutines, Kanban, Android Development, Problem Solving, Mobile Development, Kotlin Bachelor's in Computer Science React|Java Interop|Coroutines|Kanban|Android Development|Problem Solving|Mobile Development|Kotlin Kotlin Developer"
Retail & Hospitality,"Education: High School Experience: 2 years Skills: Agile, Problem Solving, Customer Relations, Inventory, Sales, Staff Management, Web Design, Store Management High School Agile|Problem Solving|Customer Relations|Inventory|Sales|Staff Management|Web Design|Store Management|Leadership Store Manager"
Hospitality & Food Service,"Education: Culinary School Experience: 5 years Skills: Kitchen Management, Leadership, Kubernetes, Serverless, Culinary Skills, Creativity, Training, Penetration Testing Culinary School Kitchen Management|Leadership|Kubernetes|Serverless|Culinary Skills|Creativity|Training|Penetration Testing|Food Safety|Financial Analysis Sous Chef"
Conservation,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: Problem Solving, Flutter, Outdoor Skills, Environmental Knowledge, Conservation, CSS, Confluence, Public Safety Bachelor's in Environmental Science Problem Solving|Flutter|Outdoor Skills|Environmental Knowledge|Conservation|CSS|Confluence|Public Safety|Communication|MySQL Park Ranger"
Research & Development,"Education: Master's in Science Experience: 1 years Skills: Data Analysis, Writing, Problem Solving, Research, HTML, Experimentation, Scrum, Scientific Knowledge Master's in Science Data Analysis|Writing|Problem Solving|Research|HTML|Experimentation|Scrum|Scientific Knowledge Research Scientist"
Sports & Recreation,"Education: Bachelor's in Physical Education Experience: 0 years Skills: Kanban, P&L Management, Athletic Knowledge, Coaching, Risk Assessment, Leadership, Training Program Design, Communication Bachelor's in Physical Education Kanban|P&L Management|Athletic Knowledge|Coaching|Risk Assessment|Leadership|Training Program Design|Communication|Motivation Coach"
Technology,"Education: Bachelor's in Computer Science Experience: 0 years Skills: Jenkins, JavaScript, C#, CMS, NumPy, Web Design, PHP, MySQL Bachelor's in Computer Science Jenkins|JavaScript|C#|CMS|NumPy|Web Design|PHP|MySQL|Joomla|Theme Development Joomla Developer"
Marketing & Sales,"Education: Bachelor's in Marketing Experience: 2 years Skills: R, Jira, CRM, Product Knowledge, Client Relationships, Communication, Flutter, P&L Management Bachelor's in Marketing R|Jira|CRM|Product Knowledge|Client Relationships|Communication|Flutter|P&L Management|Negotiation|Selling Sales Executive"
Retail & Hospitality,"Education: High School Experience: 0 years Skills: Point of Sale, Time Management, Accuracy, CSS, Cash Handling, User Experience, Customer Service, Friendliness High School Point of Sale|Time Management|Accuracy|CSS|Cash Handling|User Experience|Customer Service|Friendliness|Flutter|Communication|Problem Solving Cashier"
Technology,"Education: Bachelor's in IT Experience: 1 years Skills: Database Optimization, Security, Marketing, SQL, MongoDB, Backup Recovery, Linux, Financial Analysis Bachelor's in IT Database Optimization|Security|Marketing|SQL|MongoDB|Backup Recovery|Linux|Financial Analysis Database Administrator"
Technology,"Education: Salesforce Certification Experience: 4 years Skills: Lightning, Mobile Security, MySQL, Salesforce, Apex, Data Analysis, Mobile UI/UX, VisualForce Salesforce Certification Lightning|Mobile Security|MySQL|Salesforce|Apex|Data Analysis|Mobile UI/UX|VisualForce|Problem Solving|CRM Salesforce Developer"
Technology,"Education: Networking Certification Experience: 5 years Skills: Routing, Networking, Adobe Creative Suite, TCP/IP, Configuration, Cisco, Security, Flutter Networking Certification Routing|Networking|Adobe Creative Suite|TCP/IP|Configuration|Cisco|Security|Flutter Network Engineer"
Media & Entertainment,"Education: Broadcasting Experience: 2 years Skills: Professionalism, PyTorch, Communication, Public Speaking, Voice Skills, Quick Thinking, Pronunciation, Responsive Design Broadcasting Professionalism|PyTorch|Communication|Public Speaking|Voice Skills|Quick Thinking|Pronunciation|Responsive Design|Swift|Problem Solving|Scala Announcer"
Technology,"Education: Bachelor's in Computer Science Experience: 1 years Skills: Drupal, MySQL, Theme Development, Communication, Module Development, Azure, JavaScript, GCP Bachelor's in Computer Science Drupal|MySQL|Theme Development|Communication|Module Development|Azure|JavaScript|GCP|PHP|Adobe Creative Suite Drupal Developer"
Non-profit & Charity,"Education: Master's in Non-profit Management Experience: 8 years Skills: Communication, Vision, CloudFormation, C++, Non-profit Leadership, Fundraising, Budget Management, Documentation Master's in Non-profit Management Communication|Vision|CloudFormation|C++|Non-profit Leadership|Fundraising|Budget Management|Documentation|Strategic Planning Non-profit Director"
Technology,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Marketing, CI/CD, Compliance, Security, TypeScript, Microservices, Linux, Container Security Bachelor's in Computer Science Marketing|CI/CD|Compliance|Security|TypeScript|Microservices|Linux|Container Security|DevOps DevSecOps Engineer"
Healthcare,"Education: Dental License Experience: 1 years Skills: GraphQL, Patient Communication, Web Design, Clinical Skills, Dental Procedures, Flask, Firewalls, Compassion Dental License GraphQL|Patient Communication|Web Design|Clinical Skills|Dental Procedures|Flask|Firewalls|Compassion|Diagnosis|Attention to Detail Dentist"
Retail & Hospitality,"Education: High School Experience: 2 years Skills: Problem Solving, Financial Analysis, Teamwork, Critical Thinking, Customer Service, Product Knowledge, Marketing, Communication High School Problem Solving|Financial Analysis|Teamwork|Critical Thinking|Customer Service|Product Knowledge|Marketing|Communication|Sales Sales Associate"
Data & Analytics,"Education: Bachelor's in IT Experience: 2 years Skills: GCP, Data Visualization, Analytics, Looker, SQL, MySQL, Dashboard Development, LookML Bachelor's in IT GCP|Data Visualization|Analytics|Looker|SQL|MySQL|Dashboard Development|LookML|Decision Making|Go Looker Developer"
Construction & Real Estate,"Education: Bachelor's in Business Experience: 4 years Skills: Real Estate Knowledge, CloudFormation, Adobe Creative Suite, Swift, Business Development, Communication, Negotiation, Sales Leadership Bachelor's in Business Real Estate Knowledge|CloudFormation|Adobe Creative Suite|Swift|Business Development|Communication|Negotiation|Sales Leadership|Team Management Real Estate Broker"
Retail & Hospitality,"Education: High School Experience: 0 years Skills: Accuracy, Cash Handling, Technical Writing, Point of Sale, Friendliness, App Testing, Customer Service, Communication High School Accuracy|Cash Handling|Technical Writing|Point of Sale|Friendliness|App Testing|Customer Service|Communication Cashier"
Engineering & Manufacturing,"Education: Bachelor's in Manufacturing Engineering Experience: 1 years Skills: Process Design, Network Security, Quality Control, Go, CAD, Equipment Knowledge, Problem Solving, Jira Bachelor's in Manufacturing Engineering Process Design|Network Security|Quality Control|Go|CAD|Equipment Knowledge|Problem Solving|Jira|Production Planning Manufacturing Engineer"
Technology,"Education: Bachelor's in Computer Science Experience: 0 years Skills: Financial Analysis, API Integration, Problem Solving, Strategic Planning, Adobe Creative Suite, Marketing, JavaScript, TensorFlow Bachelor's in Computer Science Financial Analysis|API Integration|Problem Solving|Strategic Planning|Adobe Creative Suite|Marketing|JavaScript|TensorFlow|E-commerce|Liquid|Shopify Shopify Developer"
Data & Analytics,"Education: Bachelor's in Business Experience: 1 years Skills: Scikit-learn, Excel, SQL, Deep Learning, Data Analysis, Tableau, Power BI, Reporting Bachelor's in Business Scikit-learn|Excel|SQL|Deep Learning|Data Analysis|Tableau|Power BI|Reporting BI Analyst"
Creative & Design,"Education: Design Certification Experience: 4 years Skills: Scikit-learn, Branding, User Experience, Visual Communication, Attention to Detail, Creativity, Adobe Creative Suite, Design Software Design Certification Scikit-learn|Branding|User Experience|Visual Communication|Attention to Detail|Creativity|Adobe Creative Suite|Design Software|Kotlin Graphic Designer"
Technology,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Apache Kafka, Streaming, Oracle, Scalability, Pandas, Distributed Systems, Event Processing, Problem Solving Bachelor's in Computer Science Apache Kafka|Streaming|Oracle|Scalability|Pandas|Distributed Systems|Event Processing|Problem Solving|Teamwork|SQL Kafka Developer"
Technology,"Education: Architecture Certification Experience: 7 years Skills: R, System Architecture, Technical Expertise, Business Acumen, Pandas, User Interface, Cassandra, Leadership Architecture Certification R|System Architecture|Technical Expertise|Business Acumen|Pandas|User Interface|Cassandra|Leadership|Communication|Solution Design Solution Architect"
Beauty & Wellness,"Education: Massage Therapy School Experience: 2 years Skills: MySQL, Ansible, Communication, Mobile Security, Problem Solving, Anatomy, Customer Service, PHP Massage Therapy School MySQL|Ansible|Communication|Mobile Security|Problem Solving|Anatomy|Customer Service|PHP|Empathy|Massage Therapy|CloudFormation Massage Therapist"
Administration,"Education: Administrative Certification Experience: 3 years Skills: Leadership Support, Communication, Executive Support, Responsive Design, Tableau, CloudFormation, Problem Solving, Organization Administrative Certification Leadership Support|Communication|Executive Support|Responsive Design|Tableau|CloudFormation|Problem Solving|Organization|Discretion|GCP Executive Assistant"
Engineering & Manufacturing,"Education: Bachelor's in Mechanical Engineering Experience: 0 years Skills: Kotlin, Jenkins, Technical Documentation, Penetration Testing, Mechanical Design, Thermodynamics, Prototyping, Problem Solving Bachelor's in Mechanical Engineering Kotlin|Jenkins|Technical Documentation|Penetration Testing|Mechanical Design|Thermodynamics|Prototyping|Problem Solving|Communication|CAD|Physics Mechanical Engineer"
Technology,"Education: IT Certification Experience: 2 years Skills: AWS, Cassandra, CI/CD, Java, Terraform, React Native, Linux, Kubernetes IT Certification AWS|Cassandra|CI/CD|Java|Terraform|React Native|Linux|Kubernetes|Docker|Scripting|App Testing DevOps Engineer"
Marketing & Sales,"Education: Bachelor's in Business Experience: 6 years Skills: TensorFlow, Marketing, TypeScript, Sales Strategy, CRM, Negotiation, Perl, Target Setting Bachelor's in Business TensorFlow|Marketing|TypeScript|Sales Strategy|CRM|Negotiation|Perl|Target Setting|Communication|Team Leadership Sales Manager"
Construction & Real Estate,"Education: Real Estate License Experience: 2 years Skills: Communication, Property Knowledge, Negotiation, Customer Service, Shell Scripting, Mentoring, Sales, Marketing Real Estate License Communication|Property Knowledge|Negotiation|Customer Service|Shell Scripting|Mentoring|Sales|Marketing|Financial Analysis Real Estate Agent"
Engineering & Manufacturing,"Education: Bachelor's in Engineering Experience: 4 years Skills: Technical Knowledge, Project Management, Communication, Graphic Design, R, Documentation, Coordination, Problem Solving Bachelor's in Engineering Technical Knowledge|Project Management|Communication|Graphic Design|R|Documentation|Coordination|Problem Solving|Leadership Project Engineer"
Sales & Customer Service,"Education: Bachelor's in Business Experience: 1 years Skills: Analytics, Web Design, Adaptability, Java, Account Management, Communication, Customer Relations, Product Knowledge Bachelor's in Business Analytics|Web Design|Adaptability|Java|Account Management|Communication|Customer Relations|Product Knowledge|React Native|Problem Solving Customer Success Manager"
Healthcare,"Education: Radiography License Experience: 2 years Skills: TensorFlow, Communication, Attention to Detail, SQL, Radiation Safety, Imaging Technology, Technical Skills, Adobe Creative Suite Radiography License TensorFlow|Communication|Attention to Detail|SQL|Radiation Safety|Imaging Technology|Technical Skills|Adobe Creative Suite|Patient Care Radiographer"
Law Enforcement,"Education: Military Academy Experience: 5 years Skills: Communication, Scrum, Problem Solving, React, Leadership, Strategic Planning, Safety, P&L Management Military Academy Communication|Scrum|Problem Solving|React|Leadership|Strategic Planning|Safety|P&L Management|Shell Scripting|Discipline|Perl Military Officer"
Technology,"Education: Bachelor's in Computer Science Experience: 2 years Skills: UI/UX, Swift, Problem Solving, Xcode, Mobile Development, iOS Development, Figma, Data Analysis Bachelor's in Computer Science UI/UX|Swift|Problem Solving|Xcode|Mobile Development|iOS Development|Figma|Data Analysis|User Interface Swift Developer"
Marketing & Sales,"Education: Bachelor's in Marketing Experience: 5 years Skills: Campaign Management, Communication, Analytics, Budget Management, Leadership, Shell Scripting, Ansible, Brand Strategy Bachelor's in Marketing Campaign Management|Communication|Analytics|Budget Management|Leadership|Shell Scripting|Ansible|Brand Strategy Marketing Manager"
Media Production,"Education: Social Media Certification Experience: 2 years Skills: NoSQL, Query Optimization, Analytics, Content Creation, P&L Management, Communication, Creativity, Photography/Videography Social Media Certification NoSQL|Query Optimization|Analytics|Content Creation|P&L Management|Communication|Creativity|Photography/Videography|Social Media Social Media Content Creator"
Technology,"Education: Bachelor's in Computer Science Experience: 5 years Skills: LispyScript, Functional Programming, Concurrency, PHP, Clojure, Vue.js, Rust, Mobile Security Bachelor's in Computer Science LispyScript|Functional Programming|Concurrency|PHP|Clojure|Vue.js|Rust|Mobile Security|Negotiation|Java Interop|Problem Solving Clojure Developer"
